iter	Passed	Remaining
1073	67598	58283
1074	67653	58213
1075	67710	58145
1076	67768	58078
1077	67830	58014
1078	67895	57953
1079	67952	57885
1080	68014	57821
1081	68079	57760
1082	68138	57694
1083	68248	57670
1084	68313	57609
1085	68388	57556
1086	68455	57497
1087	68523	57438
1088	68587	57376
1089	68670	57330
1090	68752	57283
1091	68822	57226
1092	68884	57162
1093	68969	57117
1094	69038	57059
1095	69096	56991
1096	69156	56926
1097	69218	56862
1098	69282	56800
1099	69345	56737
1100	69399	56666
1101	69466	56606
1102	69541	56554
1103	69606	56491
1104	69669	56429
1105	69752	56382
1106	69861	56356
1107	69924	56293
1108	69993	56234
1109	70073	56184
1110	70150	56132
1111	70209	56066
1112	70282	56010
1113	70335	55940
1114	70390	55870
1115	70466	55817
1116	70552	55772
1117	70615	55709
1118	70690	55655
1119	70750	55589
1120	70810	55523
1121	70875	55462
1122	70936	55397
1123	71002	55336
1124	71070	55277
1125	71132	55213
1126	71219	55168
1127	71283	55105
1128	71355	55049
1129	71422	54989
1130	71480	54921
1131	71538	54854
1132	71599	54789
1133	71659	54724
1134	71720	54659
1135	71777	54591
1136	71842	54529
1137	71917	54475
1138	71990	54419
1139	72055	54357
1140	72122	54297
1141	72195	54241
1142	72270	54186
1143	72337	54126
1144	72401	54063
1145	72487	54018
1146	72565	53965
1147	72626	53900
1148	72687	53835
1149	72743	53766
1150	72812	53708
1151	72875	53644
1152	72937	53579
1153	73000	53516
1154	73060	53451
1155	73123	53387
1156	73206	53338
1157	73271	53276
1158	73334	53213
1159	73399	53151
1160	73455	53082
1161	73524	53023
1162	73593	52964
1163	73646	52893
1164	73706	52828
1165	73765	52761
1166	73854	52717
1167	73916	52653
1168	73980	52590
1169	74049	52530
1170	74110	52465
1171	74166	52397
1172	74225	52330
1173	74316	52287
